"lakename","season","n_years","seasonal_avg__MUFA_perc","sd__MUFA_perc","seasonal_avg__PUFA_perc","sd__PUFA_perc","seasonal_avg__SAFA_perc","sd__SAFA_perc","seasonal_avg__c18.2w6","seasonal_avg__c18.3w6","seasonal_avg__c18.3w3","seasonal_avg__c18.4w3","seasonal_avg__c18.5w3","seasonal_avg__c20.4w6","seasonal_avg__c20.5w3","seasonal_avg__c22.6w3","sd__c18.2w6","sd__c18.3w6","sd__c18.3w3","sd__c18.4w3","sd__c18.5w3","sd__c20.4w6","sd__c20.5w3","sd__c22.6w3"
"Blackstrap Reservoir","iceoff",1,21.0722898655554,NA,50.1138365940346,NA,27.9508459004096,NA,8.10539306556209,1.13190366720694,21.9405013102505,6.97764050705111,3.81213053511029,0.191209092940241,1.54202660838341,0.84475828117694,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstrap Reservoir","iceon",1,23.4772059275827,NA,51.0807849430085,NA,25.0705866165786,NA,6.73273966258981,0.875902049792191,20.8854886164365,8.03012979075858,5.55765437315581,0.292640926135107,2.25525239215698,1.15086959846949,NA,NA,NA,NA,NA,NA,NA,NA
"Broderick Reservoir","iceoff",1,39.8302527624086,NA,37.0914802720012,NA,22.8208985482765,NA,3.2190700767774,0.640674155144506,8.9507938776279,4.86832842373895,11.4127686635446,0.588314993681494,4.07849620796454,1.57064552059452,NA,NA,NA,NA,NA,NA,NA,NA
"Broderick Reservoir","iceon",1,32.7931886655523,NA,44.3109160820179,NA,22.5774502479545,NA,3.20824869363373,0.531579453688761,11.8293199838673,9.08516947467474,10.2222123467422,0.637162904068188,4.71498245869528,2.08955143122585,NA,NA,NA,NA,NA,NA,NA,NA
"Lake 227","iceoff",3,23.1159474976718,0.480584373531707,41.1299613130684,1.75747197345763,33.8464803964945,1.8212687985703,10.1702137776668,1.67944961240661,19.7509701419901,2.08299791660657,2.05071887724315,0.0305049458550533,0.225291275266608,0.0802670290115399,0.32178911452135,0.123113774295861,1.06575174804201,0.321030825782553,0.469461120915281,0.0156018164803807,0.140798072560457,0.0665982151674085
"Lake 227","iceon",3,20.7058857522391,1.13511145037202,45.2389410341816,7.19417902637614,32.2639604404708,5.15626836946395,8.99677302343025,1.44913436883406,19.6020250235181,5.69441469602858,2.70566922723057,0.17000802815996,1.42724279992566,0.750046762454251,1.43537501173173,0.433380313300591,2.5069245089954,3.15094220510257,1.36653092626588,0.0876575380740196,0.700182621025866,0.428505709154219
"Lake 239","iceoff",6,29.6357456245673,4.20352194864702,38.4963527883016,2.68343197517054,30.3563714409961,3.67391219305458,7.27705006365632,1.30191392291484,14.2622148619658,3.55525001861316,5.79090925156667,0.290073923201742,2.07868363586529,0.821174387918616,1.59065236647052,0.29499963158463,2.52264944748574,0.831357308432768,2.24543503606743,0.112549505232437,0.754513833503403,0.284677771282747
"Lake 239","iceon",6,23.4207016971411,5.97217061590244,50.2859478096343,7.62473181096409,25.6349976560541,1.55062839809155,6.07298000169439,0.844185852574745,18.7809827778514,9.35263277408671,6.04353465181607,0.393266408098627,3.08247832957313,1.5449772364676,1.24449382918078,0.214465117650567,4.4214626841245,4.20578258947216,1.41265778466514,0.155199692743804,1.28909651728313,0.697424023268335
"Lake Diefenbaker","iceoff",1,30.048292555038,NA,46.5201953784823,NA,23.0064836508821,NA,3.44961949889331,0.541093563360478,12.9698981754177,10.2848270293353,9.51930893176999,0.635033389579474,4.79626500758936,2.20531043622754,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Diefenbaker","iceon",1,16.3055110471954,NA,59.8125888645002,NA,23.3719281480606,NA,4.60755869822228,0.485516125444322,20.4414968525809,16.3038881023661,6.17238710141285,0.591961129725673,4.92059438993427,2.66931726144182,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Mendota","iceoff",16,21.2046150549013,0.330813083080849,35.5083029125761,0.387506042692191,40.02451246436,0.496834782086958,11.4399690383539,2.11453756201374,16.9065902433976,1.08741492663147,0.231738056284501,0.0114678967860573,0.200682474007247,0.0532299416700279,0.183125666737,0.040747059327136,0.162138567000635,0.20159304899553,0.233614047480087,0.0123502992804915,0.0885308503136778,0.0415762666773431
"Lake Mendota","iceon",16,22.6102517993708,2.79889635588404,37.8401456163153,4.1152267674161,36.8420371427921,3.88533223645483,10.0802863591318,1.82962809164184,16.5760250468922,2.69835760081323,1.81607892954123,0.112029461786751,0.937912321209263,0.404127397433245,1.81514793447302,0.366548758278394,1.65726538852137,2.73379944778203,2.06138348204811,0.146856051636962,1.11043597777299,0.547691059288977
"Lake Monona","iceoff",12,21.2108876759574,0.483776900616211,35.4479824972227,0.410401452447745,40.0683056778529,0.403235521313808,11.4443101036451,2.11744944496569,16.8681585842845,1.07742041405509,0.226066720867851,0.0118045409873787,0.203668403926597,0.0539737727510832,0.165675886313721,0.032737240324745,0.274836210550394,0.151457416600986,0.23698360029484,0.010773070003815,0.0695497155811517,0.0271028959177292
"Lake Monona","iceon",12,22.0101400145805,3.44731329597384,37.2926818619973,1.82343444670859,37.8389678969761,2.73485571506151,10.6281942995276,1.92821576859327,17.0227450669619,2.0559068863464,1.19281854224257,0.0654909703652897,0.590008022960962,0.242538401631991,1.35769006362157,0.235658420038215,1.8948026969075,0.945687801131424,1.86402546133791,0.100096059527307,0.684246943035066,0.274479781358847
"Lake Santo Parmense","iceoff",1,14.8590995961804,NA,60.7933998349288,NA,23.8408022226993,NA,5.30777611325775,0.557901214339341,22.1164392853323,15.8512309608311,5.31757141444845,0.519902149469937,4.38835831557312,2.45011142740756,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Santo Parmense","iceon",1,20.3127676815705,NA,54.1043540439258,NA,25.1927979851676,NA,7.04967588011635,0.869944350475347,22.6825460379374,9.32164074574646,4.74322553774217,0.276863061990657,2.23656446099634,1.23444694803703,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Valkea-Kotinen","iceoff",2,30.1491148817913,9.1874033445209,44.7978392318409,8.97116850964722,24.6478351675896,0.171290811879052,5.52126426843291,0.828188463978148,16.0098689294943,6.33859946795189,7.72925575383137,0.39458623350562,2.85215453674213,1.24548107653802,0.741346741903756,0.044273314804006,4.99586217618771,4.08314361405788,2.20545376533825,0.0260370464162257,0.104807196066808,0.321512730524589
"Lake Valkea-Kotinen","iceon",2,19.7579151449297,7.51666385063385,54.2515580098623,8.97804000137423,25.4619621235522,1.60891412184694,6.77010796560086,0.851022440449485,21.9588778468895,10.2008933233,4.85506921516987,0.324140805528388,2.64338367598463,1.44402092151321,2.03078814596985,0.3811792531283,0.189745012400006,8.30366577534608,0.471602283263597,0.291313248638452,2.61291451531189,1.50236363110786
"Lake Vanajanselka","iceoff",1,30.6979659735839,NA,44.3176465244903,NA,24.3744657434835,NA,4.18446249539459,0.694584601420413,12.9893035623463,8.55494819635598,8.93273616156136,0.562392024631313,4.19685598691499,1.88095898614886,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Vanajanselka","iceon",1,23.5949093572464,NA,50.5434275557102,NA,25.1541234666632,NA,5.24578640703068,0.742072939435616,17.3025872240977,10.8083130764649,6.78255060987859,0.491498732962742,3.8713315891105,1.9258958165058,NA,NA,NA,NA,NA,NA,NA,NA
"Scharmuetzelsee","iceoff",9,21.0073761920282,0.0694054060450074,35.7691410195235,0.504541367777963,39.9681868467715,0.410646546855564,11.4219457422784,2.10707706600018,16.9983120026879,1.23717699007255,0.216438002394664,0.0141087032949079,0.228357327862393,0.0730944779085583,0.129691600020522,0.0350242345241291,0.142254520519418,0.238897709296549,0.134342284574191,0.00841253004740729,0.0648199749663923,0.0364986005794394
"Scharmuetzelsee","iceon",9,33.8067702899119,8.34316653138175,35.99834296414,2.97688627149363,28.9305345051556,6.43316891547517,6.37373704096966,1.19418833510294,12.0994362147963,2.72231231140255,7.35279584853315,0.347730010206783,2.39017119760908,0.864102645220501,3.08997684487701,0.535728125933481,4.04925337703169,1.04800361800979,4.40587879271204,0.212105045740503,1.37899852126706,0.493698958105882
"Simoncouche","iceoff",1,22.5885024885969,NA,34.964993114922,NA,39.3130313127129,NA,11.0728182149454,2.05927702594176,16.2837170711193,0.928864227380515,0.822403135835972,0.0343398318985376,0.332000106026108,0.083740756638004,NA,NA,NA,NA,NA,NA,NA,NA
"Simoncouche","iceon",1,21.6790303795903,NA,37.0235479963118,NA,38.408208299038,NA,11.1984742223913,2.00890586397798,17.8708585877579,1.18969045104174,0.629340277777778,0.00456878696180556,0.111267487096052,0.0148312634715617,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond 1","iceoff",1,24.6558723945269,NA,48.2450338506161,NA,26.7442150209627,NA,8.74066669898604,1.17327349763204,23.3381367457557,3.56285327990288,4.0035521847401,0.0533029959561416,0.283555473467344,0.145335889846224,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond 1","iceon",1,25.4696575724465,NA,47.4683305145109,NA,26.7295724513909,NA,8.76232887136969,1.1854479395523,23.0977157647858,3.034145578274,4.12776132428422,0.0439979808333369,0.179730553703327,0.0712504110229914,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond 90","iceoff",1,20.5921291217709,NA,52.566557005712,NA,26.2885450708166,NA,7.58930925733395,0.985037102287188,22.6751104325959,8.17381583178792,4.27156446008793,0.227002454832852,1.83249110956001,1.0184857253342,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond 90","iceon",1,25.9110926632962,NA,47.5823099271759,NA,26.2127139299509,NA,8.28197762199473,1.11760306711242,22.3615925409352,3.66482231749613,4.63324986038325,0.0932740575531312,0.560407551226648,0.247769994414638,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond S5338","iceoff",1,15.6572330290624,NA,56.7795545235027,NA,26.5964877727047,NA,6.41818414602757,0.825399486764265,21.4892742882896,13.3794063321454,4.34879977479271,0.426627789981148,3.63042125056986,2.02872330845388,NA,NA,NA,NA,NA,NA,NA,NA
"St. Denis Pond S5338","iceon",1,25.2742524492436,NA,47.7839100980508,NA,26.6489827584586,NA,8.86653119663038,1.18818190865655,23.4979502175208,2.94784460746988,4.01504713125486,0.0298247150453501,0.070175948430922,0.0251521051714277,NA,NA,NA,NA,NA,NA,NA,NA
